id,value
"AL",-1.3
"AL0",-1.3
"AL01",-7.2
"AL011",-13.7
"AL012",3.3
"AL013",-12
"AL014",-10.4
"AL015",-12.6
"AL02",10
"AL021",-5
"AL022",15.7
"AL03",-8.9
"AL031",-17.1
"AL032",-9.1
"AL033",-18.8
"AL034",-8.7
"AL035",1.3
"AT",8.1
"AT1",10.7
"AT11",3
"AT111",0.9
"AT112",6.9
"AT113",-2.4
"AT12",5.8
"AT121",3.1
"AT122",5.7
"AT123",6.1
"AT124",-0.9
"AT125",2.9
"AT126",8.8
"AT127",10.3
"AT13",16.4
"AT130",16.4
"AT2",3.9
"AT21",2.3
"AT211",6.6
"AT212",-2.6
"AT213",-1.5
"AT22",4.6
"AT221",13.4
"AT222",7.8
"AT223",-6.5
"AT224",-6.4
"AT225",13.2
"AT226",-4.3
"AT3",7.5
"AT31",6.5
"AT311",6.1
"AT312",10.2
"AT313",1.7
"AT314",3.3
"AT315",4.6
"AT32",7.3
"AT321",1.2
"AT322",3.8
"AT323",9.3
"AT33",9.5
"AT331",1.4
"AT332",15
"AT333",-1.9
"AT334",6.4
"AT335",7.4
"AT34",7.6
"AT341",5.6
"AT342",8.2
"BE",5
"BE1",9.6
"BE10",9.6
"BE100",9.6
"BE2",4.8
"BE21",5.7
"BE211",4.9
"BE212",6.6
"BE213",7
"BE22",4.1
"BE221",5.2
"BE222",3.8
"BE223",2.1
"BE23",5.4
"BE231",5
"BE232",3.5
"BE233",4.6
"BE234",6.2
"BE235",4.2
"BE236",6.2
"BE24",5.6
"BE241",7.7
"BE242",2.9
"BE25",2.6
"BE251",2.1
"BE252",2.6
"BE253",0.4
"BE254",2.9
"BE255",4.2
"BE256",3.9
"BE257",1.9
"BE258",0.8
"BE3",3.9
"BE31",7
"BE310",7
"BE32",2.5
"BE321",4.1
"BE322",1.2
"BE323",3.3
"BE324",6.6
"BE325",4.5
"BE326",1.1
"BE327",1.1
"BE33",3
"BE331",4.4
"BE332",2.6
"BE334",6.1
"BE335",2.8
"BE336",1.1
"BE34",7.3
"BE341",5.7
"BE342",10.8
"BE343",7.9
"BE344",9.8
"BE345",2.4
"BE35",5.4
"BE351",6.9
"BE352",4.8
"BE353",6.1
"BG",-6
"BG3",-9.1
"BG31",-16.5
"BG311",-22.3
"BG312",-16
"BG313",-18.2
"BG314",-14
"BG315",-15.4
"BG32",-12.4
"BG321",-13.4
"BG322",-16.4
"BG323",-9.2
"BG324",-12.9
"BG325",-11.9
